DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	2015	3	23	8	41	31	12310	2	24	3	38	6.63	349.04	-71.18	80.7	0.9477	2457104.862164352	13263.52	251.94	0.10455555555555553	2161
g	2015	3	28	7	39	45	12310	12	87	7	49	14.82	336.84	-18.04	39.79	0.4711	2457109.819270833	16505.16	726.1800000000002	0.39977777777777773	2162
g	2015	3	29	9	7	7	12310	14	76	8	40	13.66	339.01	-1.87	5.26	0.3493	2457110.87994213	13560.4	546.4	0.4896111111111111	2162
g	2015	3	30	7	37	52	12310	8	46	5	25	13.79	336.03	7.51	339.86	0.3711	2457111.817962963	8400.75	344.75	0.5417222222222222	2162
g	2015	3	31	9	37	25	12310	0	20	0	11	13.0	337.78	23.54	310.85	0.5248	2457112.9009837965	3715.58	143.0	0.6307777777777778	2162
g	2015	4	4	6	28	18	12314m	0	7	0	5	-19.51	240.85	-22.4	123.12	0.4286	2457116.7696527783	1204.25	-97.55	0.3755555555555555	2162
g	2015	4	9	7	19	44	12314m	0	2	0	1	-34.59	231.1	34.36	223.32	0.6796	2457121.8053703704	231.1	-34.59	0.6908888888888889	2162
g	2015	4	7	11	5	47	12314m	0	2	0	1	-16.34	227.23	6.17	210.22	0.2057	2457119.962349537	227.23	-16.34	0.5342777777777777	2162
g	2015	4	3	12	4	14	12314m	0	11	0	6	-7.89	260.21	-13.1	98.25	0.2279	2457116.0029398147	1561.2599999999998	-47.34	0.4272222222222223	2162
g	2015	4	8	10	10	17	12314m	0	1	0	1	-24.99	229.0	20.65	224.12	0.461	2457120.92380787	229.0	-24.99	0.6147222222222223	2162
g	2015	4	1	14	56	9	12314m	0	14	0	8	-20.41	282.71	-15.41	157.96	0.3656	2457114.122326389	2261.68	-163.28	0.4143888888888889	2162
g	2015	3	30	7	37	52	12314m	0	12	0	7	-9.89	300.0	-28.52	96.71	0.4788	2457111.817962963	2100.0	-69.23	0.3415555555555556	2162
g	2015	4	2	8	48	53	12314m	0	7	0	3	-16.99	295.26	6.96	212.35	0.2176	2457114.867280093	885.78	-50.97	0.5386666666666666	2162
g	2015	4	25	6	11	53	12332m	0	3	0	1	-7.65	319.6	-26.48	88.46	0.433	2457137.7582523148	319.6	-7.65	0.3528888888888889	2163
